ActivityDay,StepTotal
5/24/2021,3007
5/25/2021,7743
5/26/2021,11228
5/27/2021,10240
5/28/2021,6963
5/29/2021,7961
5/30/2021,5843
5/31/2021,6451
6/1/2021,6705
6/2/2021,6551
6/3/2021,6424
6/4/2021,4356
6/5/2021,6824
6/6/2021,598
