ActivityDay,StepTotal
4/20/2021,5992
4/21/2021,6491
4/22/2021,5314
4/23/2021,6426
4/24/2021,5571
4/25/2021,6013
4/26/2021,8550
4/27/2021,5394
4/28/2021,6884
4/29/2021,2403
4/30/2021,15183
5/1/2021,6582
5/2/2021,12884
5/3/2021,8010
5/4/2021,599
