"Input","Output","AdjModel","RegModel","Estimates","Std.Err","P.Value","EstimatesTertile1","Std.ErrTertile1","P.ValueTertile1","EstimatesTertile2","Std.ErrTertile2","P.ValueTertile2","EstimatesTertile3","Std.ErrTertile3","P.ValueTertile3","SampleSize"
"L5_midpoint","average_DBP",1,"linear",0.12574329471533,0.433748068069019,0.772775381927135,NA,NA,NA,NA,NA,NA,NA,NA,NA,70
"L5_cnt","morning_SBP",1,"linear",0.0636390670349392,0.0342548144530414,0.0675253790300238,NA,NA,NA,NA,NA,NA,NA,NA,NA,70
"L5_cnt","morning_DBP",1,"linear",0.0319295064617061,0.0218295055104111,0.148162678502631,NA,NA,NA,NA,NA,NA,NA,NA,NA,70
"L5_cnt","evening_SBP",1,"linear",0.0458538368130729,0.0346082263628541,0.189626056128283,NA,NA,NA,NA,NA,NA,NA,NA,NA,70
"L5_cnt","evening_DBP",1,"linear",0.0233377807983795,0.0216284142586077,0.284385469887766,NA,NA,NA,NA,NA,NA,NA,NA,NA,70
"L5_cnt","average_SBP",1,"linear",0.0549439154589842,0.0340461736840358,0.111200930005927,NA,NA,NA,NA,NA,NA,NA,NA,NA,70
"L5_cnt","average_DBP",1,"linear",0.0305953036251483,0.0212563733429863,0.154639766772,NA,NA,NA,NA,NA,NA,NA,NA,NA,70
"RA","morning_SBP",1,"linear",-21.3741519095033,11.122437802625,0.0588334610434235,NA,NA,NA,NA,NA,NA,NA,NA,NA,70
"RA","morning_DBP",1,"linear",-10.6123486866729,7.09499827193887,0.139345524289257,NA,NA,NA,NA,NA,NA,NA,NA,NA,70
"RA","evening_SBP",1,"linear",-14.2602570148927,11.2686122054978,0.210016620201545,NA,NA,NA,NA,NA,NA,NA,NA,NA,70
"RA","evening_DBP",1,"linear",-8.14245333376388,7.02545876638258,0.25051314512386,NA,NA,NA,NA,NA,NA,NA,NA,NA,70
"RA","average_SBP",1,"linear",-17.9460085686754,11.0715583330715,0.109665123111127,NA,NA,NA,NA,NA,NA,NA,NA,NA,70
"RA","average_DBP",1,"linear",-10.1864973053301,6.90849088949558,0.144964757001667,NA,NA,NA,NA,NA,NA,NA,NA,NA,70
