"Input","Output","AdjModel","RegModel","Estimates","Std.Err","P.Value","EstimatesTertile1","Std.ErrTertile1","P.ValueTertile1","EstimatesTertile2","Std.ErrTertile2","P.ValueTertile2","EstimatesTertile3","Std.ErrTertile3","P.ValueTertile3","SampleSize"
"M10_cnt_100","BMXBMI",2,"linear",-0.680767611709579,0.0712165401203927,0.000669021582226048,NA,NA,NA,NA,NA,NA,NA,NA,NA,4587
"M10_cnt_100","BMXWAIST",1,"linear",-1.96119838279512,0.169343241390641,1.47368827928153e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,4587
"M10_cnt_100","BMXWAIST",2,"linear",-1.78071937069144,0.177955918191588,0.000560587294825165,NA,NA,NA,NA,NA,NA,NA,NA,NA,4587
"M10_cnt_100","LBXGLU",1,"linear",-3.2124467318659,0.407898926576492,1.64276208264767e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,2186
"M10_cnt_100","LBXGLU",2,"linear",-2.70890402482463,0.410657957524788,0.00120319512265154,NA,NA,NA,NA,NA,NA,NA,NA,NA,2186
"L5_midpoint","systolic_BP",1,"linear",0.218640688064923,0.0832822428314995,0.0199686882553995,NA,NA,NA,NA,NA,NA,NA,NA,NA,4587
"L5_midpoint","systolic_BP",2,"linear",0.222699118063028,0.0687138114027097,0.0316450111770394,NA,NA,NA,NA,NA,NA,NA,NA,NA,4587
"L5_midpoint","diastolic_BP",1,"linear",0.153404994761272,0.0540869070274263,0.0132026078275789,NA,NA,NA,NA,NA,NA,NA,NA,NA,4587
"L5_midpoint","diastolic_BP",2,"linear",0.153956125936459,0.0506002920280656,0.0383048183957815,NA,NA,NA,NA,NA,NA,NA,NA,NA,4587
"L5_midpoint","BMXBMI",1,"linear",0.0512697877988637,0.0271418189599288,0.0797908454103395,NA,NA,NA,NA,NA,NA,NA,NA,NA,4587
"L5_midpoint","BMXBMI",2,"linear",0.0514910824920671,0.0255421504510226,0.11402590655817,NA,NA,NA,NA,NA,NA,NA,NA,NA,4587
"L5_midpoint","BMXWAIST",1,"linear",0.122394037955858,0.0664933508686694,0.0869563128919823,NA,NA,NA,NA,NA,NA,NA,NA,NA,4587
"L5_midpoint","BMXWAIST",2,"linear",0.128557149390851,0.0613561544229854,0.104209453736833,NA,NA,NA,NA,NA,NA,NA,NA,NA,4587
"L5_midpoint","LBXGLU",1,"linear",0.77372377783588,0.473976156981278,0.124873931824505,NA,NA,NA,NA,NA,NA,NA,NA,NA,2186
"L5_midpoint","LBXGLU",2,"linear",0.746751171399747,0.468940387240276,0.172167596181306,NA,NA,NA,NA,NA,NA,NA,NA,NA,2186
"L5_cnt","systolic_BP",1,"linear",0.0235117178134597,0.0101316980674021,0.035917283472215,NA,NA,NA,NA,NA,NA,NA,NA,NA,4587
"L5_cnt","systolic_BP",2,"linear",0.0200053989252541,0.00866089831480627,0.0820455674681285,NA,NA,NA,NA,NA,NA,NA,NA,NA,4587
"L5_cnt","diastolic_BP",1,"linear",0.00935637067481677,0.00525331368174149,0.0966052892933677,NA,NA,NA,NA,NA,NA,NA,NA,NA,4587
"L5_cnt","diastolic_BP",2,"linear",0.00870374760082286,0.00523588222807667,0.171781947963877,NA,NA,NA,NA,NA,NA,NA,NA,NA,4587
"L5_cnt","BMXBMI",1,"linear",0.0164235416734028,0.00270833988131028,2.91615175560152e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,4587
"L5_cnt","BMXBMI",2,"linear",0.0145771433134577,0.00289487465892558,0.00730515088456222,NA,NA,NA,NA,NA,NA,NA,NA,NA,4587
"L5_cnt","BMXWAIST",1,"linear",0.0382738348946733,0.00778862997132833,0.000228226653718833,NA,NA,NA,NA,NA,NA,NA,NA,NA,4587
"L5_cnt","BMXWAIST",2,"linear",0.0382447035854608,0.00811842162792609,0.00923384282789207,NA,NA,NA,NA,NA,NA,NA,NA,NA,4587
"L5_cnt","LBXGLU",1,"linear",0.0385574005074776,0.015743030033861,0.028088494263825,NA,NA,NA,NA,NA,NA,NA,NA,NA,2186
"L5_cnt","LBXGLU",2,"linear",0.0416123319544284,0.0165450548033444,0.0534942431627905,NA,NA,NA,NA,NA,NA,NA,NA,NA,2186
"RA","systolic_BP",1,"linear",-14.3141722671248,2.33955666476673,2.6582112912478e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,4587
"RA","systolic_BP",2,"linear",-6.05356526462197,2.08569980550268,0.0440112928346766,NA,NA,NA,NA,NA,NA,NA,NA,NA,4587
"RA","diastolic_BP",1,"linear",-2.13445587154658,1.97485048488812,0.298045032614877,NA,NA,NA,NA,NA,NA,NA,NA,NA,4587
