"Input","Cutoff1","Cutoff2"
"IS60",0.581897207666667,0.722447680666667
"IV60",0.560023904666667,0.766332933666667
"M10_midpoint",12.81666667,15.15
"M10_cnt_100",4.144576225,5.57816423633333
"L5_midpoint",2.6,3.966666667
"L5_cnt",21.5357385566667,39.3840384233333
"RA",0.843346497333333,0.918460903666667
